Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%,Sales,Date,Time,Payment,cogs,gross margin percentage,gross income,Total Sale,Time of the day,Day of the week
750-67-8428,Alex,Yangon,Member,Health and beauty,74.69,7,26.1415,548.9715,2019-01-05,2026-04-20 13:08:00,Ewallet,522.83,4.761904762,26.1415,522.8299999999999,Afternoon,Saturday
226-31-3081,Giza,Naypyitaw,Normal,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,2026-04-20 10:29:00,Cash,76.4,4.761904762,3.82,76.39999999999999,Morning,Friday
631-41-3108,Alex,Yangon,Normal,Home and lifestyle,46.33,7,16.2155,340.5255,2019-03-03,2026-04-20 13:23:00,Credit card,324.31,4.761904762,16.2155,324.31,Afternoon,Sunday
123-19-1176,Alex,Yangon,Member,Health and beauty,58.22,8,23.288,489.048,2019-01-27,2026-04-20 20:33:00,Ewallet,465.76,4.761904762,23.288,465.76,Evening,Sunday
373-73-7910,Alex,Yangon,Member,Sports and travel,86.31,7,30.2085,634.3785,2019-02-08,2026-04-20 10:37:00,Ewallet,604.17,4.761904762,30.2085,604.1700000000001,Morning,Friday
699-14-3026,Giza,Naypyitaw,Member,Electronic accessories,85.39,7,29.8865,627.6165,2019-03-25,2026-04-20 18:30:00,Ewallet,597.73,4.761904762,29.8865,597.73,Evening,Monday
355-53-5943,Alex,Yangon,Member,Electronic accessories,68.84,6,20.652,433.692,2019-02-25,2026-04-20 14:36:00,Ewallet,413.04,4.761904762,20.652,413.04,Afternoon,Monday
315-22-5665,Giza,Naypyitaw,Member,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,2026-04-20 11:38:00,Ewallet,735.6,4.761904762,36.78,735.6,Morning,Sunday
665-32-9167,Alex,Yangon,Member,Health and beauty,36.26,2,3.626,76.146,2019-01-10,2026-04-20 17:15:00,Credit card,72.52,4.761904762,3.626,72.52,Afternoon,Thursday
692-92-5582,Cairo,Mandalay,Member,Food and beverages,54.84,3,8.226,172.746,2019-02-20,2026-04-20 13:27:00,Credit card,164.52,4.761904762,8.226,164.52,Afternoon,Wednesday
351-62-0822,Cairo,Mandalay,Member,Fashion accessories,14.48,4,2.896,60.816,2019-02-06,2026-04-20 18:07:00,Ewallet,57.92,4.761904762,2.896,57.92,Evening,Wednesday
529-56-3974,Cairo,Mandalay,Member,Electronic accessories,25.51,4,5.102,107.142,2019-03-09,2026-04-20 17:03:00,Cash,102.04,4.761904762,5.102,102.04,Afternoon,Saturday
365-64-0515,Alex,Yangon,Member,Electronic accessories,46.95,5,11.7375,246.4875,2019-02-12,2026-04-20 10:25:00,Ewallet,234.75,4.761904762,11.7375,234.75,Morning,Tuesday
252-56-2699,Alex,Yangon,Member,Food and beverages,43.19,10,21.595,453.495,2019-02-07,2026-04-20 16:48:00,Ewallet,431.9,4.761904762,21.595,431.9,Afternoon,Thursday
829-34-3910,Alex,Yangon,Member,Health and beauty,71.38,10,35.69,749.49,2019-03-29,2026-04-20 19:21:00,Cash,713.8,4.761904762,35.69,713.8,Evening,Friday
299-46-1805,Cairo,Mandalay,Member,Sports and travel,93.72,6,28.116,590.436,2019-01-15,2026-04-20 16:19:00,Cash,562.32,4.761904762,28.116,562.3199999999999,Afternoon,Tuesday
656-95-9349,Alex,Yangon,Member,Health and beauty,68.93,7,24.1255,506.6355,2019-03-11,2026-04-20 11:03:00,Credit card,482.51,4.761904762,24.1255,482.51000000000005,Morning,Monday
765-26-6951,Alex,Yangon,Member,Sports and travel,72.61,6,21.783,457.443,2019-01-01,2026-04-20 10:39:00,Credit card,435.66,4.761904762,21.783,435.65999999999997,Morning,Tuesday
329-62-1586,Alex,Yangon,Member,Food and beverages,54.67,3,8.2005,172.2105,2019-01-21,2026-04-20 18:00:00,Credit card,164.01,4.761904762,8.2005,164.01,Evening,Monday
319-50-3348,Cairo,Mandalay,Member,Home and lifestyle,40.3,2,4.03,84.63,2019-03-11,2026-04-20 15:30:00,Ewallet,80.6,4.761904762,4.03,80.6,Afternoon,Monday
300-71-4605,Giza,Naypyitaw,Member,Electronic accessories,86.04,5,21.51,451.71,2019-02-25,2026-04-20 11:24:00,Ewallet,430.2,4.761904762,21.51,430.20000000000005,Morning,Monday
371-85-5789,Cairo,Mandalay,Member,Health and beauty,87.98,3,13.197,277.137,2019-03-05,2026-04-20 10:40:00,Ewallet,263.94,4.761904762,13.197,263.94,Morning,Tuesday
273-16-6619,Cairo,Mandalay,Member,Home and lifestyle,33.2,2,3.32,69.72,2019-03-15,2026-04-20 12:20:00,Credit card,66.4,4.761904762,3.32,66.4,Afternoon,Friday
636-48-8204,Alex,Yangon,Member,Electronic accessories,34.56,5,8.64,181.44,2019-02-17,2026-04-20 11:15:00,Ewallet,172.8,4.761904762,8.64,172.8,Morning,Sunday
